STATEFP,COUNTYFP,TRACTCE,GEOID,CENSUS_TRACT,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID2,GEOid2_1,PovRate,Id2,MedIncome,FID_1,STATEFP_1,COUNTYFP_1,TRACTCE_1,GEOID_1,NAME_1,NAMELSAD_1,MTFCC_1,FUNCSTAT_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,GEOID2_12,GEOid2__13,PovRate_1,Id2_1,MedIncom_1
6,37,138000,6037138000,138000,Census Tract 1380,G5020,S,"4,472,197",0,34.1488008,-118.5910495,"6,037,138,000","6,037,138,000",5.3,"6,037,138,000",119511,26,6,37,138000,6037138000,1380,Census Tract 1380,G5020,S,"4,472,197",0,34.1488008,-118.5910495,"6,037,138,000","6,037,138,000",5.3,"6,037,138,000","119,511"
6,37,139200,6037139200,139200,Census Tract 1392,G5020,S,"1,152,032",0,34.1756962,-118.5246447,"6,037,139,200","6,037,139,200",13.6,"6,037,139,200",75532,27,6,37,139200,6037139200,1392,Census Tract 1392,G5020,S,"1,152,032",0,34.1756962,-118.5246447,"6,037,139,200","6,037,139,200",13.6,"6,037,139,200","75,532"
6,37,143200,6037143200,143200,Census Tract 1432,G5020,S,"957,093",0,34.1494399,-118.3720618,"6,037,143,200","6,037,143,200",9.8,"6,037,143,200",73077,28,6,37,143200,6037143200,1432,Census Tract 1432,G5020,S,"957,093",0,34.1494399,-118.3720618,"6,037,143,200","6,037,143,200",9.8,"6,037,143,200","73,077"
6,37,143300,6037143300,143300,Census Tract 1433,G5020,S,"1,649,228","5,619",34.152183,-118.3866139,"6,037,143,300","6,037,143,300",6.3,"6,037,143,300",78016,29,6,37,143300,6037143300,1433,Census Tract 1433,G5020,S,"1,649,228","5,619",34.152183,-118.3866139,"6,037,143,300","6,037,143,300",6.3,"6,037,143,300","78,016"
6,37,201301,6037201301,201301,Census Tract 2013.01,G5020,S,"866,187",0,34.0882421,-118.1878388,"6,037,201,301","6,037,201,301",25.9,"6,037,201,301",42986,30,6,37,201301,6037201301,2013.01,Census Tract 2013.01,G5020,S,"866,187",0,34.0882421,-118.1878388,"6,037,201,300","6,037,201,300",25.9,"6,037,201,300","42,986"
6,37,201302,6037201302,201302,Census Tract 2013.02,G5020,S,"991,724",0,34.097882,-118.1838819,"6,037,201,302","6,037,201,302",11.3,"6,037,201,302",74634,31,6,37,201302,6037201302,2013.02,Census Tract 2013.02,G5020,S,"991,724",0,34.097882,-118.1838819,"6,037,201,300","6,037,201,300",11.3,"6,037,201,300","74,634"
6,37,201401,6037201401,201401,Census Tract 2014.01,G5020,S,"1,279,501","28,686",34.0781954,-118.1855017,"6,037,201,401","6,037,201,401",28.6,"6,037,201,401",47639,32,6,37,201401,6037201401,2014.01,Census Tract 2014.01,G5020,S,"1,279,501","28,686",34.0781954,-118.1855017,"6,037,201,400","6,037,201,400",28.6,"6,037,201,400","47,639"
6,37,201402,6037201402,201402,Census Tract 2014.02,G5020,S,"1,941,232",0,34.0689106,-118.1877681,"6,037,201,402","6,037,201,402",15.1,"6,037,201,402",54655,33,6,37,201402,6037201402,2014.02,Census Tract 2014.02,G5020,S,"1,941,232",0,34.0689106,-118.1877681,"6,037,201,400","6,037,201,400",15.1,"6,037,201,400","54,655"
6,37,139301,6037139301,139301,Census Tract 1393.01,G5020,S,"2,865,645",0,34.1781538,-118.5581266,"6,037,139,301","6,037,139,301",5.4,"6,037,139,301",98576,34,6,37,139301,6037139301,1393.01,Census Tract 1393.01,G5020,S,"2,865,645",0,34.1781538,-118.5581266,"6,037,139,300","6,037,139,300",5.4,"6,037,139,300","98,576"
6,37,139302,6037139302,139302,Census Tract 1393.02,G5020,S,"338,299",0,34.1767231,-118.5383656,"6,037,139,302","6,037,139,302",20.7,"6,037,139,302",48287,35,6,37,139302,6037139302,1393.02,Census Tract 1393.02,G5020,S,"338,299",0,34.1767231,-118.5383656,"6,037,139,300","6,037,139,300",20.7,"6,037,139,300","48,287"
6,37,139502,6037139502,139502,Census Tract 1395.02,G5020,S,"1,047,549",0,34.1628402,-118.5263111,"6,037,139,502","6,037,139,502",10.3,"6,037,139,502",63966,36,6,37,139502,6037139502,1395.02,Census Tract 1395.02,G5020,S,"1,047,549",0,34.1628402,-118.5263111,"6,037,139,500","6,037,139,500",10.3,"6,037,139,500","63,966"
6,37,139600,6037139600,139600,Census Tract 1396,G5020,S,"2,477,489",0,34.1640599,-118.5101001,"6,037,139,600","6,037,139,600",13.6,"6,037,139,600",78019,37,6,37,139600,6037139600,1396,Census Tract 1396,G5020,S,"2,477,489",0,34.1640599,-118.5101001,"6,037,139,600","6,037,139,600",13.6,"6,037,139,600","78,019"
6,37,139701,6037139701,139701,Census Tract 1397.01,G5020,S,"3,396,395","2,411",34.157429,-118.4954117,"6,037,139,701","6,037,139,701",3.7,"6,037,139,701",139243,38,6,37,139701,6037139701,1397.01,Census Tract 1397.01,G5020,S,"3,396,395","2,411",34.157429,-118.4954117,"6,037,139,700","6,037,139,700",3.7,"6,037,139,700","139,243"
6,37,139801,6037139801,139801,Census Tract 1398.01,G5020,S,"3,665,744",0,34.1527206,-118.5455805,"6,037,139,801","6,037,139,801",3.9,"6,037,139,801",140875,39,6,37,139801,6037139801,1398.01,Census Tract 1398.01,G5020,S,"3,665,744",0,34.1527206,-118.5455805,"6,037,139,800","6,037,139,800",3.9,"6,037,139,800","140,875"
6,37,143400,6037143400,143400,Census Tract 1434,G5020,S,"1,738,503","18,832",34.1538507,-118.4110998,"6,037,143,400","6,037,143,400",5,"6,037,143,400",102582,40,6,37,143400,6037143400,1434,Census Tract 1434,G5020,S,"1,738,503","18,832",34.1538507,-118.4110998,"6,037,143,400","6,037,143,400",5,"6,037,143,400","102,582"
6,37,143500,6037143500,143500,Census Tract 1435,G5020,S,"1,191,719","46,468",34.1476412,-118.40678,"6,037,143,500","6,037,143,500",10.3,"6,037,143,500",87464,41,6,37,143500,6037143500,1435,Census Tract 1435,G5020,S,"1,191,719","46,468",34.1476412,-118.40678,"6,037,143,500","6,037,143,500",10.3,"6,037,143,500","87,464"
6,37,181000,6037181000,181000,Census Tract 1810,G5020,S,"4,107,037","30,513",34.145267,-118.2043861,"6,037,181,000","6,037,181,000",7.1,"6,037,181,000",112891,42,6,37,181000,6037181000,1810,Census Tract 1810,G5020,S,"4,107,037","30,513",34.145267,-118.2043861,"6,037,181,000","6,037,181,000",7.1,"6,037,181,000","112,891"
6,37,181500,6037181500,181500,Census Tract 1815,G5020,S,"1,094,424",0,34.1347812,-118.1928513,"6,037,181,500","6,037,181,500",6.2,"6,037,181,500",100347,43,6,37,181500,6037181500,1815,Census Tract 1815,G5020,S,"1,094,424",0,34.1347812,-118.1928513,"6,037,181,500","6,037,181,500",6.2,"6,037,181,500","100,347"
6,37,181600,6037181600,181600,Census Tract 1816,G5020,S,"1,250,036",0,34.1297233,-118.2097406,"6,037,181,600","6,037,181,600",9.4,"6,037,181,600",73958,44,6,37,181600,6037181600,1816,Census Tract 1816,G5020,S,"1,250,036",0,34.1297233,-118.2097406,"6,037,181,600","6,037,181,600",9.4,"6,037,181,600","73,958"
