,Medium Income ($),Canopy Area (%),Income Bracket
360,83827.0,26.00275115333333,75K - 100K ($)
361,72019.0,11.0745431965,50K - 75K ($)
362,41375.0,18.150144836666666,25K - 50K ($)
363,64487.0,11.0225581345,50K - 75K ($)
364,77037.0,22.024023005,75K - 100K ($)
365,78355.0,14.8723864,75K - 100K ($)
366,86200.0,17.369308266666668,75K - 100K ($)
367,57328.0,27.2574874875,50K - 75K ($)
368,205170.0,48.801083845,150K + ($)
369,84932.0,15.098416529000001,75K - 100K ($)
370,156298.0,25.449856965,150K + ($)
371,77467.0,18.091689445,75K - 100K ($)
372,32088.0,15.289525753333335,25K - 50K ($)
373,50781.0,18.321839665,50K - 75K ($)
374,16234.0,9.280021460333332,0 - 25K ($)
375,64631.0,24.959706646666664,50K - 75K ($)
376,81076.0,33.13728882,75K - 100K ($)
377,72734.0,20.28466837,50K - 75K ($)
378,71979.0,19.424120142000003,50K - 75K ($)
379,76917.0,29.325508084000003,75K - 100K ($)
380,83542.0,25.35329041,75K - 100K ($)
381,39693.0,17.82245063,25K - 50K ($)
382,100740.0,17.241040143333333,100K - 125K ($)
383,63664.0,20.827212326666668,50K - 75K ($)
384,54351.0,19.558462865,50K - 75K ($)
385,103235.0,29.50522553,100K - 125K ($)
386,51250.0,13.58082028,50K - 75K ($)
387,57664.0,14.864909910000002,50K - 75K ($)
388,61745.0,15.849449363333333,50K - 75K ($)
389,39219.0,19.06302029333333,25K - 50K ($)
390,111250.0,32.84707109666667,100K - 125K ($)
391,45893.0,0.31857055,25K - 50K ($)
392,91875.0,14.975194133333332,75K - 100K ($)
393,96150.0,18.34435629,75K - 100K ($)
394,76029.0,17.75295095,75K - 100K ($)
395,71815.0,15.26128786,50K - 75K ($)
396,77176.0,25.544213935,75K - 100K ($)
397,33878.0,16.633513316666665,25K - 50K ($)
398,70839.0,21.157204315,50K - 75K ($)
399,77375.0,16.191188,75K - 100K ($)
400,80556.0,21.981617683333337,75K - 100K ($)
401,69178.0,15.224260446666667,50K - 75K ($)
402,72188.0,16.426593529999998,50K - 75K ($)
403,59200.0,18.0615921175,50K - 75K ($)
404,47169.0,18.3494559475,25K - 50K ($)
405,68828.0,19.391098955,50K - 75K ($)
406,59000.0,12.885947589666664,50K - 75K ($)
407,57750.0,19.41569975,50K - 75K ($)
408,86635.0,20.77632386,75K - 100K ($)
409,71250.0,16.889680509166666,50K - 75K ($)
410,100607.0,23.23950923,100K - 125K ($)
411,41250.0,18.642893668333333,25K - 50K ($)
412,103988.0,26.611230452500006,100K - 125K ($)
413,40697.0,12.778843016666665,25K - 50K ($)
414,55274.0,15.129940729500001,50K - 75K ($)
415,107719.0,24.995840778,100K - 125K ($)
416,57464.0,11.45156815,50K - 75K ($)
417,55469.0,12.819980699999999,50K - 75K ($)
418,46627.0,8.760017605,25K - 50K ($)
419,62167.0,15.33951309,50K - 75K ($)
420,84643.0,22.654085415,75K - 100K ($)
421,53814.0,21.432044225,50K - 75K ($)
422,59231.0,18.93818271,50K - 75K ($)
423,96296.0,27.848935575,75K - 100K ($)
424,87232.0,29.201911300000006,75K - 100K ($)
425,73919.0,17.944914803333337,50K - 75K ($)
426,78468.0,12.104389306333331,75K - 100K ($)
427,66829.0,15.225780603333332,50K - 75K ($)
428,57393.0,14.809207996749999,50K - 75K ($)
429,68662.0,24.45980113,50K - 75K ($)
430,44063.0,7.657445055499999,25K - 50K ($)
431,59554.0,13.8685144605,50K - 75K ($)
432,50644.0,12.965168354999998,50K - 75K ($)
433,69375.0,27.091218055,50K - 75K ($)
434,53229.0,11.92542729,50K - 75K ($)
435,55219.0,17.975559445,50K - 75K ($)
436,55556.0,8.853074084,50K - 75K ($)
437,90000.0,13.204749255,75K - 100K ($)
438,59583.0,13.86025181,50K - 75K ($)
439,113750.0,28.210282535,100K - 125K ($)
440,70040.0,18.776418134,50K - 75K ($)
441,47417.0,17.542922887499998,25K - 50K ($)
442,67639.0,21.080234596666667,50K - 75K ($)
443,115966.0,34.330708055,100K - 125K ($)
444,43333.0,12.684293296333331,25K - 50K ($)
445,32301.0,7.88264084,25K - 50K ($)
446,51786.0,12.3141198805,50K - 75K ($)
447,97083.0,19.929199276666672,75K - 100K ($)
448,126532.0,26.624922165,125K to 150K ($)
449,94306.0,29.92514291,75K - 100K ($)
450,124318.0,38.877937208,100K - 125K ($)
451,107078.0,10.9084394155,100K - 125K ($)
452,93934.0,27.10835943666667,75K - 100K ($)
453,101085.0,16.949135246666668,100K - 125K ($)
454,91650.0,28.658537346666666,75K - 100K ($)
455,88819.0,19.770410899999998,75K - 100K ($)
456,90662.0,30.23710313,75K - 100K ($)
457,62759.0,25.3345714,50K - 75K ($)
458,83869.0,30.2040190825,75K - 100K ($)
459,78218.0,27.08064738666667,75K - 100K ($)
460,70000.0,13.266435175333333,50K - 75K ($)
461,63958.0,13.660148105,50K - 75K ($)
462,41264.0,15.460881765,25K - 50K ($)
463,53596.0,12.280338068333334,50K - 75K ($)
464,61150.0,16.263028915,50K - 75K ($)
465,74398.0,16.83264888,50K - 75K ($)
466,123750.0,21.52309411333333,100K - 125K ($)
467,71375.0,15.72790061,50K - 75K ($)
468,63139.0,8.704566384,50K - 75K ($)
469,61098.0,16.69927973,50K - 75K ($)
470,67844.0,15.06062959,50K - 75K ($)
471,53264.0,18.02395651,50K - 75K ($)
472,103119.0,25.67763700333333,100K - 125K ($)
473,74327.0,18.140919555,50K - 75K ($)
474,81875.0,14.550480100000001,75K - 100K ($)
475,82790.0,38.9459936225,75K - 100K ($)
476,78600.0,12.8316319094,75K - 100K ($)
477,116974.0,17.8144842,100K - 125K ($)
478,74491.0,23.99126201,50K - 75K ($)
479,57966.0,11.62836451,50K - 75K ($)
480,46964.0,12.858550833333332,25K - 50K ($)
481,76638.0,32.846644565999995,75K - 100K ($)
482,81439.0,29.661339958000003,75K - 100K ($)
483,57375.0,27.637198077499995,50K - 75K ($)
484,73125.0,36.43983385,50K - 75K ($)
485,110417.0,25.706840035,100K - 125K ($)
486,142171.0,26.2962831625,125K to 150K ($)
487,123622.0,31.74456744,100K - 125K ($)
488,70893.0,15.375400281666666,50K - 75K ($)
489,41509.0,13.01034961,25K - 50K ($)
490,55956.0,12.139349473333333,50K - 75K ($)
491,85913.0,20.82740579,75K - 100K ($)
492,50642.0,11.403144463666669,50K - 75K ($)
493,90795.0,22.104635425,75K - 100K ($)
494,74375.0,16.027611051428572,50K - 75K ($)
495,77339.0,29.90845971,75K - 100K ($)
496,36799.0,11.454752395,25K - 50K ($)
497,98182.0,25.22254905,75K - 100K ($)
498,36059.0,9.494428973,25K - 50K ($)
499,77969.0,15.8720456625,75K - 100K ($)
500,77316.0,17.853173705,75K - 100K ($)
501,68636.0,18.851285103333336,50K - 75K ($)
502,94063.0,19.758682235,75K - 100K ($)
503,88021.0,25.44472509,75K - 100K ($)
504,139583.0,23.90670709,125K to 150K ($)
505,78900.0,22.419815186666664,75K - 100K ($)
506,47188.0,10.168258121333333,25K - 50K ($)
507,41094.0,11.1849356885,25K - 50K ($)
508,48438.0,10.653434250666663,25K - 50K ($)
509,120855.0,39.5243945675,100K - 125K ($)
510,55343.0,14.71976071,50K - 75K ($)
511,49673.0,16.027778965,25K - 50K ($)
512,131512.0,33.3143102425,125K to 150K ($)
513,86528.0,30.503620984,75K - 100K ($)
514,59464.0,40.87603553333333,50K - 75K ($)
515,59375.0,30.5004013775,50K - 75K ($)
516,66094.0,13.03186286,50K - 75K ($)
517,54740.0,10.459759780499999,50K - 75K ($)
518,34915.0,9.633756904,25K - 50K ($)
519,52188.0,10.318391262999999,50K - 75K ($)
520,66709.0,21.40294792,50K - 75K ($)
521,41125.0,6.234158633333332,25K - 50K ($)
522,56639.0,15.87761513175,50K - 75K ($)
523,61321.0,11.61333068,50K - 75K ($)
524,44464.0,13.093713065,25K - 50K ($)
525,49318.0,9.971294632000001,25K - 50K ($)
526,79855.0,10.362297,75K - 100K ($)
527,126705.0,32.54019362,125K to 150K ($)
528,110456.0,20.328507845,100K - 125K ($)
529,88343.0,16.569257234000002,75K - 100K ($)
530,84400.0,16.62627052,75K - 100K ($)
531,72778.0,19.24979209,50K - 75K ($)
532,67268.0,17.085316996666666,50K - 75K ($)
533,58007.0,20.657297635,50K - 75K ($)
534,77679.0,20.2270672375,75K - 100K ($)
535,97743.0,33.169179325,75K - 100K ($)
